# GeoNames feature codes modified to include very rough estimates of typical radii (http://www.geonames.org/export/codes.html) (CC-BY-4.0)
FeatureClass,FeatureCode,FeatureShape,SizeIndex,SizeGeoNames,SizeNaturalEarth,BriefDefinition,FullDefinition
S,BRKS,,1,,,barracks,a building for lodging military personnel
S,BRKW,,1,,,breakwater,a structure erected to break the force of waves at the entrance to a harbor or port
S,BSTN,,1,,,baling station,a facility for baling agricultural products
S,BTYD,,1,,,boatyard,"a waterside facility for servicing, repairing, and building small vessels"
S,BUR,,1,,,burial cave(s),a cave used for human burials
S,BUSTN,,1,,,bus station,"a facility comprising ticket office, platforms, etc. for loading and unloading passengers"
S,BUSTP,,1,,,bus stop,a place lacking station facilities
S,CARN,,1,,,cairn,a heap of stones erected as a landmark or for other purposes
S,CAVE,,1,,,cave(s),"an underground passageway or chamber, or cavity on the side of a cliff"
S,CH,,1,1.418787903,,church,a building for public Christian worship
S,CMP,,1,1.417095379,,camp(s),"a site occupied by tents, huts, or other shelters for temporary use"
S,CMPL,,1,,,logging camp,a camp used by loggers
S,CMPLA,,1,,,labor camp,a camp used by migrant or temporary laborers
S,CMPMN,,1,,,mining camp,a camp used by miners
S,CMPO,,1,,,oil camp,a camp used by oilfield workers
S,CMPQ,,1,,,abandoned camp,
S,CMPRF,,1,,,refugee camp,a camp used by refugees
S,CMTY,,1,1.417868463,,cemetery,a burial place or ground
S,COMC,,1,,,communication center,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information"
S,CRRL,,1,1.41462617,,corral(s),a pen or enclosure for confining or capturing animals
S,CSNO,,1,,,casino,"a building used for entertainment, especially gambling"
S,CSTL,,1,,,castle,a large fortified building or set of buildings
S,CSTM,,1,,,customs house,"a building in a port where customs and duties are paid, and where vessels are entered and cleared"
S,CTHSE,,1,,,courthouse,a building in which courts of law are held
S,CTRA,,1,,,atomic center,a facility where atomic research is carried out
S,CTRCM,,1,,,community center,a facility for community recreation and other activities
S,CTRF,,1,,,facility center,a place where more than one facility is situated
S,CTRM,,1,,,medical center,"a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc."
S,CTRR,,1,,,religious center,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship"
S,CTRS,,1,,,space center,"a facility for launching, tracking, or controlling satellites and space vehicles"
S,CVNT,,1,,,convent,a building where a community of nuns lives in seclusion
S,DAM,,1,,,dam,a barrier constructed across a stream to impound water
S,DAMQ,,1,,,ruined dam,a destroyed or decayed dam which is no longer functional
S,DAMSB,,1,,,sub-surface dam,a dam put down to bedrock in a sand river
S,DARY,,1,,,dairy,"a facility for the processing, sale and distribution of milk or milk products"
S,DCKD,,1,,,dry dock,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed"
S,DCKY,,1,,,dockyard,"a facility for servicing, building, or repairing ships"
S,DIKE,,1,,,dike,an earth or stone embankment usually constructed for flood or stream control
S,DIP,,1,,,diplomatic facility,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d'affaires, or other diplomatic, economic, military, or cultural mission"
S,DPOF,,1,,,fuel depot,an area where fuel is stored
S,EST,,1,1.411727743,,estate(s),a large commercialized agricultural landholding with associated buildings and other facilities
S,ESTO,,1,,,oil palm plantation,an estate specializing in the cultivation of oil palm trees
S,ESTX,,1,,,section of estate,
S,FCL,,1,1.418965244,,facility,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc."
S,FNDY,,1,,,foundry,a building or works where metal casting is carried out
S,FRM,,1,1.419240852,,farm,a tract of land with associated buildings devoted to agriculture
S,FRMQ,,1,1.418046826,,abandoned farm,
S,FRMT,,1,,,farmstead,the buildings and adjacent service areas of a farm
S,FT,,1,1.414454654,,fort,a defensive structure or earthworks
S,FY,,1,,,ferry,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody
S,FYT,,1,,,ferry terminal,"a place where ferries pick-up and discharge passengers, vehicles and or cargo"
S,GATE,,1,,,gate,a controlled access entrance or exit
S,GDN,,1,,,garden(s),an enclosure for displaying selected plant or animal life
S,GHAT,,1,,,ghat,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing"
S,GHSE,,1,,,guest house,a house used to provide lodging for paying guests
S,GOSP,,1,,,gas-oil separator plant,a facility for separating gas from oil
S,GOVL,,1,,,local government office,"a facility housing local governmental offices, usually a city, town, or village hall"
S,GRVE,,1,1.414437613,,grave,a burial site
S,HERM,,1,,,hermitage,"a secluded residence, usually for religious sects"
S,HLT,,1,,,halting place,a place where caravans stop for rest
S,HMSD,,1,1.418377591,,homestead,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand"
S,HSE,,1,1.419920512,,house(s),a building used as a human habitation
S,HSEC,,1,,,country house,"a large house, mansion, or chateau, on a large estate"
S,HSP,,1,1,,hospital,"a building in which sick or injured, especially those confined to bed, are medically treated"
S,HSPC,,1,,,clinic,a medical facility associated with a hospital for outpatients
S,HSPD,,1,,,dispensary,a building where medical or dental aid is dispensed
S,HSPL,,1,,,leprosarium,an asylum or hospital for lepers
S,HSTS,,1,1.41903521,,historical site,a place of historical importance
S,HTL,,1,1.418004765,,hotel,a building providing lodging and/or meals for the public
S,HUT,,1,1.420371697,,hut,a small primitive house
S,ITTR,,1,,,research institute,a facility where research is carried out
S,JTY,,1,,,jetty,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting
S,LDNG,,1,1.414233789,,landing,"a place where boats receive or discharge passengers and freight, but lacking most port facilities"
S,LEPC,,1,,,leper colony,a settled area inhabited by lepers in relative isolation
S,LIBR,,1,,,library,"A place in which information resources such as books are kept for reading, reference, or lending."
S,LNDF,,1,,,landfill,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land
S,LOCK,,1,,,lock(s),a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another
S,LTHSE,,1,,,lighthouse,a distinctive structure exhibiting a major navigation light
S,MALL,,1,,,mall,"A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways."
S,MAR,,1,,,marina,"a harbor facility for small boats, yachts, etc."
S,MFG,,1,1.415930664,,factory,"one or more buildings where goods are manufactured, processed or fabricated"
S,MFGB,,1,,,brewery,one or more buildings where beer is brewed
S,MFGC,,1,,,cannery,a building where food items are canned
S,MFGCU,,1,,,copper works,a facility for processing copper ore
S,MFGLM,,1,,,limekiln,a furnace in which limestone is reduced to lime
S,MFGM,,1,,,munitions plant,a factory where ammunition is made
S,MFGPH,,1,,,phosphate works,a facility for producing fertilizer
S,MFGQ,,1,,,abandoned factory,
S,MFGSG,,1,,,sugar refinery,a facility for converting raw sugar into refined sugar
S,MKT,,1,1.414313229,,market,a place where goods are bought and sold at regular intervals
S,ML,,1,,,mill(s),"a building housing machines for transforming, shaping, finishing, grinding, or extracting products"
S,MLM,,1,,,ore treatment plant,a facility for improving the metal content of ore by concentration
S,MLO,,1,,,olive oil mill,a mill where oil is extracted from olives
S,MLSG,,1,,,sugar mill,a facility where sugar cane is processed into raw sugar
S,MLSGQ,,1,,,former sugar mill,a sugar mill no longer used as a sugar mill
S,MLSW,,1,,,sawmill,a mill where logs or lumber are sawn to specified shapes and sizes
S,MLWND,,1,,,windmill,a mill or water pump powered by wind
S,MLWTR,,1,,,water mill,a mill powered by running water
S,MN,,1,1.415581823,,mine(s),a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages
S,MNAU,,1,,,gold mine(s),"a mine where gold ore, or alluvial gold is extracted"
S,MNC,,1,,,coal mine(s),a mine where coal is extracted
S,MNCR,,1,,,chrome mine(s),a mine where chrome ore is extracted
S,MNCU,,1,,,copper mine(s),a mine where copper ore is extracted
S,MNFE,,1,,,iron mine(s),a mine where iron ore is extracted
S,MNMT,,1,,,monument,a commemorative structure or statue
S,MNN,,1,,,salt mine(s),a mine from which salt is extracted
S,MNQ,,1,,,abandoned mine,
S,MNQR,,1,,,quarry(-ies),"a surface mine where building stone or gravel and sand, etc. are extracted"
S,MOLE,,1,,,mole,a massive structure of masonry or large stones serving as a pier or breakwater
S,MSQE,,1,1.414237273,,mosque,a building for public Islamic worship
S,MSSN,,1,,,mission,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion"
S,MSSNQ,,1,,,abandoned mission,
S,MSTY,,1,1.84122099,,monastery,a building and grounds where a community of monks lives in seclusion
S,MTRO,,1,,,metro station,"metro station (Underground, Tube, or Metro)"
S,MUS,,1,,,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited
S,NOV,,1,,,novitiate,a religious house or school where novices are trained
S,NSY,,1,,,nursery(-ies),a place where plants are propagated for transplanting or grafting
S,OBPT,,1,,,observation point,a wildlife or scenic observation point
S,OBS,,1,,,observatory,a facility equipped for observation of atmospheric or space phenomena
S,OBSR,,1,,,radio observatory,a facility equipped with an array of antennae for receiving radio waves from space
S,OILJ,,1,,,oil pipeline junction,a section of an oil pipeline where two or more pipes join together
S,OILQ,,1,,,abandoned oil well,
S,OILR,,1,,,oil refinery,a facility for converting crude oil into refined petroleum products
S,OILT,,1,,,tank farm,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored"
S,OILW,,1,,,oil well,a well from which oil may be pumped
S,OPRA,,1,,,opera house,A theater designed chiefly for the performance of operas.
S,PAL,,1,,,palace,"a large stately house, often a royal or presidential residence"
S,PGDA,,1,,,pagoda,"a tower-like storied structure, usually a Buddhist shrine"
S,PIER,,1,,,pier,a structure built out into navigable water on piles providing berthing for ships and recreation
S,PKLT,,1,,,parking lot,an area used for parking vehicles
S,PMPO,,1,,,oil pumping station,a facility for pumping oil through a pipeline
S,PMPW,,1,,,water pumping station,a facility for pumping water from a major well or through a pipeline
S,PO,,1,,,post office,"a public building in which mail is received, sorted and distributed"
S,PP,,1,1.414546417,,police post,a building in which police are stationed
S,PPQ,,1,,,abandoned police post,
S,PRKGT,,1,,,park gate,a controlled access to a park
S,PRKHQ,,1,,,park headquarters,a park administrative facility
S,PRN,,1,,,prison,a facility for confining prisoners
S,PRNJ,,1,,,reformatory,"a facility for confining, training, and reforming young law offenders"
S,PRNQ,,1,,,abandoned prison,
S,PS,,1,,,power station,a facility for generating electric power
S,PSH,,1,,,hydroelectric power station,a building where electricity is generated from water power
S,PSTB,,1,,,border post,a post or station at an international boundary for the regulation of movement of people and goods
S,PSTC,,1,,,customs post,a building at an international boundary where customs and duties are paid on goods
S,PSTP,,1,,,patrol post,a post from which patrols are sent out
S,PYR,,1,,,pyramid,an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
S,QUAY,,1,,,quay,a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities
S,RDCR,,1,,,traffic circle,a road junction formed around a central circle about which traffic moves in one direction only
S,RECG,,1,,,golf course,a recreation field where golf is played
S,RECR,,1,,,racetrack,a track where races are held
S,REST,,1,,,restaurant,A place where meals are served to the public
S,RET,,1,,,store,a building where goods and/or services are offered for sale
S,RHSE,,1,1.415035385,,resthouse,a structure maintained for the rest and shelter of travelers
S,RKRY,,1,,,rookery,a breeding place of a colony of birds or seals
S,RLG,,1,,,religious site,an ancient site of significant religious importance
S,RLGR,,1,,,retreat,"a place of temporary seclusion, especially for religious groups"
S,RNCH,,1,1.414426774,,ranch(es),a large farm specializing in extensive grazing of livestock
S,RSD,,1,,,railroad siding,a short track parallel to and joining the main track
S,RSGNL,,1,,,railroad signal,a signal at the entrance of a particular section of track governing the movement of trains
S,RSRT,,1,1.417378567,,resort,"a specialized facility for vacation, health, or participation sports activities"
S,RSTN,,1,,,railroad station,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight"
S,RSTNQ,,1,,,abandoned railroad station,
S,RSTP,,1,,,railroad stop,a place lacking station facilities where trains stop to pick up and unload passengers and freight
S,RSTPQ,,1,,,abandoned railroad stop,
S,RUIN,,1,1.416853256,,ruin(s),a destroyed or decayed structure which is no longer functional
S,SCH,,1,,,school,building(s) where instruction in one or more branches of knowledge takes place
S,SECP,,1,,,State Exam Prep Centre,state exam preparation centres
S,SHPF,,1,,,sheepfold,a fence or wall enclosure for sheep and other small herd animals
S,SHRN,,1,1.414271172,,shrine,a structure or place memorializing a person or religious concept
S,SHSE,,1,,,storehouse,"a building for storing goods, especially provisions"
S,SLCE,,1,,,sluice,"a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate"
S,SNTR,,1,,,sanatorium,a facility where victims of physical or mental disorders are treated
S,SPA,,1,,,spa,a resort area usually developed around a medicinal spring
S,SPLY,,1,,,spillway,"a passage or outlet through which surplus water flows over, around or through a dam"
S,SQR,,1,,,square,"a broad, open, public area near the center of a town or city"
S,STBL,,1,,,stable,"a building for the shelter and feeding of farm animals, especially horses"
S,STDM,,1,,,stadium,a structure with an enclosure for athletic games with tiers of seats for spectators
S,STNB,,1,1.420516126,,scientific research base,a scientific facility used as a base from which research is carried out or monitored
S,STNC,,1,,,coast guard station,a facility from which the coast is guarded by armed vessels
S,STNE,,1,,,experiment station,a facility for carrying out experiments
S,STNF,,1,,,forest station,a collection of buildings and facilities for carrying out forest management
S,STNI,,1,,,inspection station,"a station at which vehicles, goods, and people are inspected"
S,STNM,,1,,,meteorological station,a station at which weather elements are recorded
S,STNR,,1,,,radio station,a facility for producing and transmitting information by radio waves
S,STNS,,1,,,satellite station,a facility for tracking and communicating with orbiting satellites
S,STNW,,1,,,whaling station,a facility for butchering whales and processing train oil
S,STPS,,1,,,steps,stones or slabs placed for ease in ascending or descending a steep slope
S,SWT,,1,,,sewage treatment plant,facility for the processing of sewage and/or wastewater
S,THTR,,1,,,theater,"A building, room, or outdoor structure for the presentation of plays, films, or other dramatic performances"
S,TMB,,1,,,tomb(s),a structure for interring bodies
S,TMPL,,1,1.414748196,,temple(s),an edifice dedicated to religious worship
S,TNKD,,1,,,cattle dipping tank,a small artificial pond used for immersing cattle in chemically treated water for disease control
S,TOWR,,1,,,tower,"a high conspicuous structure, typically much higher than its diameter"
S,TRANT,,1,,,transit terminal,facilities for the handling of vehicular freight and passengers
S,TRIG,,1,,,triangulation station,a point on the earth whose position has been determined by triangulation
S,TRMO,,1,,,oil pipeline terminal,a tank farm or loading facility at the end of an oil pipeline
S,TWO,,1,,,temp work office,Temporary Work Offices
S,USGE,,1,,,united states government establishment,a facility operated by the United States Government in Panama
S,VETF,,1,,,veterinary facility,a building or camp at which veterinary services are available
S,WALL,,1,,,wall,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure"
S,WALLA,,1,,,ancient wall,the remains of a linear defensive stone structure
S,WEIR,,1,,,weir(s),"a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel"
S,WHRF,,1,,,wharf(-ves),a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities
S,WRCK,,1,,,wreck,the site of the remains of a wrecked vessel
S,WTRW,,1,,,waterworks,a facility for supplying potable water through a water source and a system of pumps and filtration beds
S,ZNF,,1,,,free trade zone,"an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations"
S,ZOO,,1,1,,zoo,a zoological garden or park where wild animals are kept for exhibition
T,ASPH,,1,,,asphalt lake,a small basin containing naturally occurring asphalt
T,BAR,,1,,,bar,"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts"
T,BLDR,,1,,,boulder field,"a high altitude or high latitude bare, flat area covered with large angular rocks"
T,BLHL,,1,,,blowhole(s),a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air
T,BLOW,,1,,,blowout(s),"a small depression in sandy terrain, caused by wind erosion"
T,BUTE,,1,,,butte(s),"a small, isolated, usually flat-topped hill with steep sides"
T,CFT,,1,,,cleft(s),"a deep narrow slot, notch, or groove in a coastal cliff"
T,CLF,,1,,,cliff(s),"a high, steep to perpendicular slope overlooking a waterbody or lower area"
T,CONE,,1,,,cone(s),a conical landform composed of mud or volcanic material
T,CRDR,,1,,,corridor,a strip or area of land having significance as an access way
T,CRQ,,1,,,cirque,a bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley
T,CUET,,1,,,cuesta(s),an asymmetric ridge formed on tilted strata
T,DPR,,1,,,depression(s),a low area surrounded by higher land and usually characterized by interior drainage
T,DUNE,,1,,,dune(s),"a wave form, ridge or star shape feature composed of sand"
T,FAN,,1,,,fan(s),a fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain
T,FORD,,1,,,ford,a shallow part of a stream which can be crossed on foot or by land vehicle
T,FSR,,1,,,fissure,a crack associated with volcanism
T,HMCK,,1,,,hammock(s),"a patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups"
T,NKM,,1,,,meander neck,a narrow strip of land between the two limbs of a meander loop at its narrowest point
T,PK,,1,,,peak,"a pointed elevation atop a mountain, ridge, or other hypsographic feature"
T,PROM,,1,,,promontory(-ies),a bluff or prominent hill overlooking or projecting into a lowland
T,RDGB,,1,,,beach ridge,"a ridge of sand just inland and parallel to the beach, usually in series"
T,RK,,1,,,rock,"a conspicuous, isolated rocky mass"
T,RKFL,,1,,,rockfall,an irregular mass of fallen rock at the base of a cliff or steep slope
T,SDL,,1,,,saddle,"a broad, open pass crossing a ridge or between hills or mountains"
T,SINK,,1,,,sinkhole,a small crater-shape depression in a karst area
T,SLID,,1,,,slide,"a mound of earth material, at the base of a slope and the associated scoured area"
T,SLP,,1,,,slope(s),a surface with a relatively uniform slope angle
T,SPIT,,1,,,spit,"a narrow, straight or curved continuation of a beach into a waterbody"
T,SPUR,,1,,,spur(s),"a subordinate ridge projecting outward from a hill, mountain or other elevation"
T,TAL,,1,,,talus slope,a steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope
T,TRGD,,1,,,interdune trough(s),a long wind-swept trough between parallel longitudinal dunes
T,TRR,,1,,,terrace,"a long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody"
T,VALX,,4,,,section of valley,
V,BUSH,,1,,,bush(es),a small clump of conspicuous bushes in an otherwise bare area
V,GRVC,,1,,,coconut grove,a planting of coconut trees
V,GRVO,,1,,,olive grove,a planting of olive trees
V,GRVP,,1,,,palm grove,a planting of palm trees
V,GRVPN,,1,,,pine grove,a planting of pine trees
V,OCH,,1,1.414738158,,orchard(s),a planting of fruit or nut trees
V,TREE,,1,,,tree(s),a conspicuous tree used as a landmark
V,VIN,,1,,,vineyard,a planting of grapevines
H,CHNL,,2,,,lake channel(s),"that part of a lake having water deep enough for navigation between islands, shoals, etc."
H,LGNX,,16,,,section of lagoon,
H,LKX,,8,5.096149235,,section of lake,
H,PNDNI,,2,,,intermittent salt pond(s),
H,PNDS,,2,,,ponds,small standing waterbodies
H,PNDSN,,2,,,salt ponds,"small standing bodies of salt water often in a marsh or swamp, usually along a seacoast"
H,RVN,,8,,,ravine(s),"a small, narrow, deep, steep-sided stream channel, smaller than a gorge"
H,STMD,,8,,,distributary(-ies),"a branch which flows away from the main stream, as in a delta or irrigation canal"
H,STMH,,8,,,headwaters,"the source and upper part of a stream, including the upper drainage basin"
H,STMM,,8,,,stream mouth(s),"a place where a stream discharges into a lagoon, lake, or the sea"
H,SYSI,,2,,,irrigation system,"a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc."
H,WLLS,,2,,,wells,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface"
L,INDS,,2,1.416677034,,industrial area,an area characterized by industrial activity
L,PRT,,2,1.415881609,,port,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor"
R,CSWY,,2,,,causeway,a raised roadway across wet ground or shallow water
R,PRMN,,2,,,promenade,"a place for public walking, usually along a beach front"
R,PTGE,,2,,,portage,"a place where boats, goods, etc., are carried overland between navigable waters"
R,TNLS,,2,,,tunnels,subterranean passageways for transportation
S,AIRB,,2,2.784935581,,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated"
S,ESTR,,2,,,rubber plantation,an estate which specializes in growing and tapping rubber trees
S,ESTSG,,2,,,sugar plantation,an estate that specializes in growing sugar cane
S,ESTT,,2,,,tea plantation,an estate which specializes in growing tea bushes
S,FRMS,,2,1.418996203,,farms,tracts of land with associated buildings devoted to agriculture
S,HUTS,,2,,,huts,small primitive houses
S,PYRS,,2,,,pyramids,ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
